#      WAVE        LUMINOSITY
       3600.0364       1.4206218
       3600.8654       1.3270843
       3601.6946       1.2477220
       3602.5240       1.3635928
       3603.3536       1.3089096
       3604.1834       1.3071951
       3605.0134       1.2411820
       3605.8436       1.2948375
       3606.6740       1.3630044
       3607.5045       1.3807553
       3608.3353       1.2800494
       3609.1662       1.3148509
       3609.9974       1.2566664
       3610.8287       1.2405329
       3611.6602       1.3051915
       3612.4919       1.2610500
       3613.3238       1.2905143
       3614.1559       1.3455477
       3614.9882       1.3581217
       3615.8207       1.3169780
       3616.6534       1.2955856
       3617.4862       1.2505789
       3618.3193       1.2353836
       3619.1525       1.2025063
       3619.9860       1.1533612
       3620.8196       1.2359537
       3621.6534       1.3713044
       3622.4874       1.3602520
       3623.3216       1.3876336
       3624.1560       1.4503060
       3624.9906       1.3271901
       3625.8254       1.3270117
       3626.6604       1.3855565
       3627.4955       1.3551397
       3628.3309       1.3511650
       3629.1664       1.2820872
       3630.0022       1.2306379
       3630.8381       1.2641781
       3631.6742       1.2764881
       3632.5106       1.2125228
       3633.3471       1.2212696
       3634.1838       1.3038173
       3635.0207       1.2433574
       3635.8578       1.3300322
       3636.6951       1.3673894
       3637.5325       1.3395898
       3638.3702       1.3650075
       3639.2081       1.3985046
       3640.0461       1.4252198
       3640.8844       1.4607492
       3641.7228       1.3462621
       3642.5614       1.2403875
       3643.4003       1.2410532
       3644.2393       1.2501466
       3645.0785       1.3366765
       3645.9179       1.4598782
       3646.7575       1.2480347
       3647.5973       1.1928093
       3648.4373       1.3034474
       3649.2775       1.3258024
       3650.1178       1.2943128
       3650.9584       1.2847013
       3651.7992       1.3404797
       3652.6401       1.3388874
       3653.4813       1.3797479
       3654.3226       1.4149161
       3655.1642       1.3838362
       3656.0059       1.3992908
       3656.8478       1.3996835
       3657.6899       1.4436829
       3658.5322       1.4822649
       3659.3747       1.5145321
       3660.2174       1.3261577
       3661.0603       1.3383529
       3661.9034       1.4224493
       3662.7467       1.3563262
       3663.5902       1.3409310
       3664.4339       1.3129206
       3665.2777       1.3711146
       3666.1218       1.3575174
       3666.9660       1.2848713
       3667.8105       1.3422252
       3668.6551       1.3730770
       3669.5000       1.3817552
